Nr. ,  Vorname  ,  Nachname  ,  Geburtsdatum  ,  Strasse  ,  Hausnummer  ,  PLZ  ,  Stadt  ,Geschlecht,  E-Mail 
1, Judith , Eckstein , 27.11.1955 , Baumberger Str., 111 ,6766, Bobbau ,weiblichudith.eckstein@ewe.de
2, Leo , Oppermann , 27.12.1956 , Am Grauen Stein, 197 ,69120, Heidelberg ,maennlich, l.oppermann@ewe.de
3, Marianne , Hilgers , 28.9.1935 , Drachterstr., 151 ,24247, Rodenbek ,weiblich, m.hilgers@ewe.de
4, Joern , Jaeckle , 16.2.1987 , Nerzweg, 187 ,25863, Langeness ,maennlich.jaeckle@ewe.de
5, Viktor , Sims , 22.11.1949 , Foersterstr., 102 ,94569, Stephansposching ,maennlich, viktor.sims@ewe.de
6, Teresa , Baehr , 1.10.1965 , Mondstr., 3 ,79618, Rheinfelden ,weiblich, teresa.baehr@ewe.de
7, Lucia , Born , 26.9.1949 , Kurze Str., 127 ,7381, Solkwitz ,weiblich, lucia.born@ewe.de
8, Ruth , Henderson , 10.8.1948 , Buenkamp, 132 ,83362, Surberg ,weiblich, r.henderson@ewe.de
9, Samira , Haffner , 20.7.1931 , Hogenbergstr., 156 ,70376, Stuttgart ,weiblich, s.haffner@ewe.de
10, Sebastian , Hall , 7.9.1968 , Hoelkenbusch, 103 ,72458, Ebingen ,maennlich, s.hall@ewe.de
11, Damian , Kugler , 24.2.1956 , Boettcherstr., 116 ,82538, Geretsried ,maennlich, d.kugler@ewe.de
12, Layla , Dittrich , 9.6.1951 , Flasskuhl, 86 ,55234, Hochborn ,weiblich, l.dittrich@ewe.de
13, Levin , Mucha , 27.11.1933 , Gescherweg, 123 ,38259, Salzgitter ,maennlich, levin.mucha@ewe.de
14, Barbara , May , 28.6.1971 , Eulenbergstr., 129 ,73568, Durlangen ,weiblich, barbara.may@ewe.de
15, Norbert , Krenz , 3.9.1939 , Hillscheider Weg, 23 ,23898, Klinkrade ,maennlichorbert.krenz@ewe.de
16, Alexa , Carr , 25.8.1950 , Teutonenstr., 173 ,66117, Saarbruecken ,weiblich, alexa.carr@ewe.de
17, Lorena , Nachtigall , 24.9.1946 , Hensenstr., 49a ,87743, Egg an der Guenz ,weiblich, l.nachtigall@ewe.de
18, Carolin , Simons , 20.4.1939 , Wiedehagen, 101 ,42283, Wuppertal ,weiblich, carolin.simons@ewe.de
19, Julius , Adolf , 26.11.1996 , Dodostr., 181 ,56291, Birkheim ,maennlich.adolf@ewe.de
20, Lynn , Gutzeit , 22.9.1984 , Am Dornbusch, 197 ,86863, Langenneufnach ,weiblich, l.gutzeit@ewe.de
21, Rebecca , Todd , 14.3.1976 , Immelmannstr., 40 ,89081, Ulm ,weiblich, r.todd@ewe.de
22, Josephine , Falkenstein , 8.12.1925 , Hermann-Treff-Weg, 160 ,24392, Ekenis ,weiblich.falkenstein@ewe.de
23, Gerd , Andrews , 2.6.1922 , Raesfeldstr., 194a ,77855, Achern ,maennlich, g.andrews@ewe.de
24, Silvia , Decker , 1.5.1950 , Merheimer Str., 71 ,1705, Freital ,weiblich, silvia.decker@ewe.de
25, Isabel , Reinsch , 10.7.1971 , Eifelstr., 19 ,18276, Muehl Rosin ,weiblich, isabel.reinsch@ewe.de
26, Patrik , Sauer , 9.12.1975 , Rottkamp, 69 ,39221, Boerdeland ,maennlich, patrik.sauer@ewe.de
